Данные по обилию массовых видов на станциях в Долгой губе о. Б. Соловецкий. Использование только с разрешения правообладателей материала. Электронная почта polydora@rambler.ru (Вадим Хайтов)
Station;Eteone_longa;Nemertini;Harmothoe_imbricata;Castalia_punctata;Pontoporeia_femorata;Scalibregma_inflatum;Caprella_linearis;Thyasira_gouldi;Brachidiastylis_resima;Pholoe_minuta;Ostracoda_gen._sp.;Saccoglosus_mereschkowski;Amphitrite_cirrata;Chaetozone_setosa;Onoba_aculeas;Prionospio_cirrifera;Nicania_montagui;Corophium_bonelli;Terebellides_stroemi;Portlandia_arctica;Aricidea_nolani;Crenella_decussata;Scoloplos_armiger;Micronephthys_minuta;Capitella_capitata
S1;0;40;120;240;0;0;0;0;0;100;0;0;0;0;1040;0;0;1840;140;0;0;0;1620;0;40
S2;0;0;0;0;220;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;20;0
S3;0;0;0;0;0;140;0;0;0;0;0;0;220;0;0;60;0;0;0;160;120;0;0;20;0
S4;0;0;0;0;0;20;0;40;380;0;0;0;0;20;0;0;100;0;100;20;0;40;140;160;0
S5;0;40;0;0;0;0;0;0;40;0;20;0;0;100;0;0;0;180;0;0;0;260;180;440;140
S6;20;20;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;260;180;0;40;280;60;260;80
S7;20;0;0;0;0;0;0;60;0;0;0;0;100;0;0;140;0;0;0;160;80;20;0;0;0
S8;20;0;0;0;0;0;0;60;20;0;0;0;0;0;0;0;20;0;260;20;260;40;0;220;0
S9;0;0;0;0;0;0;0;0;100;200;0;0;0;140;0;0;60;180;580;0;140;160;340;980;20
S10;40;60;0;0;0;0;0;0;0;40;0;500;0;320;0;0;20;0;220;0;40;120;620;800;1800
S12;0;0;0;0;40;0;0;0;0;0;0;0;60;0;0;780;0;0;0;0;0;0;0;0;0
S13;0;0;0;0;0;0;0;40;0;20;240;0;0;20;0;0;0;0;0;340;80;0;0;20;0
S15;0;0;0;0;20;0;0;40;0;0;0;180;0;0;20;0;320;0;100;0;80;80;480;100;340
S16;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0
S17;20;0;20;0;0;20;0;20;0;0;0;20;120;220;0;0;60;0;320;0;120;60;140;60;60
S18;20;60;0;0;0;0;0;20;0;0;0;400;0;0;0;0;0;0;140;40;80;120;440;140;600
S19;0;20;0;0;0;0;0;0;0;0;0;60;0;0;0;0;80;380;300;20;0;260;180;220;80
